iter	RMSE
0	0.2071957672
1	0.2054909949
2	0.2036918765
3	0.2018603211
4	0.1999558692
5	0.1970970938
6	0.1958713213
7	0.1936504493
8	0.1923936397
9	0.1908955993
10	0.1873674052
11	0.1860177106
12	0.1843773319
13	0.1832740698
14	0.1812869061
15	0.1799720748
16	0.177990676
17	0.1765691298
18	0.175494405
19	0.1735769869
20	0.1723630259
21	0.1710577751
22	0.1692247442
23	0.1683443842
24	0.1664906577
25	0.165541161
26	0.1643245457
27	0.1625608326
28	0.1607838609
29	0.1599990895
30	0.1588276072
31	0.1578640934
32	0.1562236982
33	0.1552152108
34	0.1543357567
35	0.1528166374
36	0.1521970704
37	0.1508365175
38	0.1493516462
39	0.1480602749
40	0.1461505751
41	0.1451504914
42	0.1443584366
43	0.14330039
44	0.1425448583
45	0.1414777718
46	0.1401420055
47	0.1387568142
48	0.1369667897
49	0.1358459319
50	0.1346601296
51	0.1331347817
52	0.1326568171
53	0.1317307173
54	0.1308168059
55	0.1301562402
56	0.1284538166
57	0.1269244524
58	0.1255101512
59	0.1246969041
60	0.1236204116
61	0.1230800383
62	0.1216605974
63	0.1206355203
64	0.1201188871
65	0.1195134882
66	0.1187846978
67	0.1176027689
68	0.1167678207
69	0.1151590244
70	0.1140175016
71	0.1122360121
72	0.1109115317
73	0.1098389539
74	0.1080636874
75	0.1075851006
76	0.1067815504
77	0.1056826331
78	0.1046316653
79	0.104131089
80	0.1031113654
81	0.1020545456
82	0.1009709316
83	0.1002019471
84	0.09884691052
85	0.09800863783
86	0.09744645099
87	0.09629065491
88	0.09588490303
89	0.09476056687
90	0.09377507382
91	0.09311476574
92	0.09224062598
93	0.09121179903
94	0.09055314376
95	0.08956599751
96	0.08820064629
97	0.08702053138
98	0.08624250373
99	0.08532408684
