iter	Passed	Remaining
0	46	4621
1	47	2308
2	47	1539
3	47	1150
4	48	915
5	48	760
6	48	648
7	49	563
8	49	498
9	49	445
10	49	402
11	50	366
12	50	336
13	50	310
14	50	287
15	50	267
16	51	250
17	51	234
18	51	220
19	52	209
20	52	197
21	52	187
22	53	177
23	53	169
24	53	161
25	53	153
26	54	146
27	54	139
28	54	134
29	55	128
30	55	123
31	55	118
32	55	113
33	56	108
34	56	104
35	56	100
36	56	96
37	57	93
38	57	89
39	57	86
40	57	83
41	58	80
42	58	77
43	58	74
44	58	71
45	59	69
46	59	66
47	59	64
48	59	62
49	60	60
50	60	58
51	60	56
52	60	54
53	61	52
54	61	50
55	61	48
56	62	46
57	62	45
58	62	43
59	62	41
60	63	40
61	63	38
62	63	37
63	63	35
64	64	34
65	64	33
66	64	31
67	64	30
68	65	29
69	65	28
70	65	26
71	65	25
72	66	24
73	66	23
74	66	22
75	66	21
76	67	20
77	67	19
78	67	18
79	67	16
80	68	16
81	68	15
82	68	14
83	68	13
84	69	12
85	69	11
86	69	10
87	69	9
88	70	8
89	70	7
90	70	6
91	70	6
92	71	5
93	71	4
94	71	3
95	72	3
96	72	2
97	72	1
98	73	0
99	73	0
