season,player_id,player_name,team,position,price,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,form,points_per_game,value_season,value_form,selected_by_percent,transfers_in,transfers_out,status,news,current_gw,games_played,points_per_90,consistency_proxy,goal_involvement,points_per_million,transfer_trend,playing_time_pct,position_name
2024-25,1,Raya,ARS,1,6.0,122,2700,0,0,14,22,0,0,0,1,0,47,6,487,425.8,33.4,0.0,46.0,3.2,4.1,20.3,0.5,34.6,4057762,2363950,a,,29,30,4.066666666666666,0.823529411764706,0,20.333333333333332,1693812,1.0344827586206897,GK
2024-25,2,Arrizabalaga,ARS,1,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,14592,76867,a,,29,0,0.0,1.0,0,0.0,-62275,0.0,GK
2024-25,3,Hein,ARS,1,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,5545,48196,u,Has joined Werder Bremen on loan for the rest of the season.,29,0,0.0,1.0,0,0.0,-42651,0.0,GK
2024-25,4,Setford,ARS,1,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,33787,33603,a,,29,0,0.0,1.0,0,0.0,184,0.0,GK
2024-25,5,Gabriel,ARS,2,7.2,164,2075,3,4,13,15,0,0,0,3,0,0,24,563,665.6,105.4,196.0,96.5,5.8,6.8,22.8,0.8,43.6,8190395,5203088,a,,29,23,7.113253012048192,0.8717948717948718,7,22.77777777777778,2987307,0.7950191570881227,DEF
2024-25,6,Saliba,ARS,2,6.1,96,1984,1,0,10,16,0,0,0,1,0,0,6,412,400.0,124.6,72.0,59.7,2.6,4.0,15.7,0.4,13.4,1903790,2231442,a,,29,22,4.354838709677419,0.72,1,15.737704918032788,-327652,0.7601532567049808,DEF
2024-25,7,Calafiori,ARS,2,5.6,87,1373,1,2,10,8,0,0,0,5,0,0,4,310,233.2,110.2,230.0,57.4,0.6,4.1,15.5,0.1,6.0,2632947,2462873,a,,29,15,5.702840495265841,0.3137254901960784,3,15.535714285714286,170074,0.5260536398467432,DEF
2024-25,8,J.Timber,ARS,2,6.3,148,2415,3,6,13,20,0,0,0,5,0,0,9,529,492.0,401.0,350.0,124.6,5.4,5.1,23.5,0.9,28.7,6654845,3775152,a,,29,26,5.515527950310559,0.9508196721311474,9,23.492063492063494,2879693,0.9252873563218391,DEF
2024-25,9,Kiwior,ARS,2,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1119,10911,u,has joined Porto on loan for the rest of the season.,29,0,0.0,1.0,0,0.0,-9792,0.0,DEF
2024-25,10,Lewis-Skelly,ARS,2,5.1,12,311,0,0,0,5,0,0,0,3,0,0,0,36,31.2,45.5,18.0,9.4,0.0,0.9,2.4,0.0,1.4,134969,466162,a,,29,3,3.4726688102893895,0.5263157894736842,0,2.3529411764705883,-331193,0.11915708812260536,DEF
2024-25,11,White,ARS,2,5.1,30,409,0,1,3,4,0,0,0,0,0,0,3,112,111.4,92.7,46.0,25.0,0.0,4.3,5.9,0.0,0.5,346916,408117,a,,29,4,6.601466992665037,0.18867924528301883,1,5.882352941176471,-61201,0.15670498084291187,DEF
2024-25,13,Clarke,ARS,2,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,51889,78819,a,,29,0,0.0,1.0,0,0.0,-26930,0.0,DEF
2024-25,14,Kacurri,ARS,2,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,10218,22684,u,has joined Morecambe on loan for the rest of the season.,29,0,0.0,1.0,0,0.0,-12466,0.0,DEF
