name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,player_name,player_id,gameweek,price,season,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,points_per_90,goal_involvement,form_3gw,form_5gw,position_code,exp031_prediction,exp030_prediction
Tyrese Hall,MID,Spurs,1.0,0,0,0,0,0.0,862,380,0,0,0.0,0.0,2024-05-19T15:00:00Z,0,17,0,0,0,0,38,0,34,3,0,0.0,0,28,35,7,45,False,0,38,Tyrese Hall,862,38,45,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3,3.6397339286638593,1.0
Yan Valery,DEF,Southampton,0.0,0,0,0,0,0.0,378,377,0,0,0.0,0.0,2021-05-23T15:00:00Z,0,19,0,0,0,0,38,0,4061,0,3,0.0,0,-6,0,6,47,False,0,38,Yan Valery,378,38,47,0,,,,,,0.0,0,0.0,0.0,2,134.93046195587317,0.0
Will Smallbone,MID,Southampton,0.0,0,0,0,0,0.0,415,380,0,0,0.0,0.0,2023-05-28T15:30:00Z,0,12,0,0,0,0,38,0,726,4,4,0.0,0,-3,0,3,45,True,0,38,Will Smallbone,415,38,45,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3,26.20902735780154,0.0
Willian Borges Da Silva,MID,Arsenal,0.5,0,0,0,0,0.0,478,369,0,0,0.0,0.0,2021-05-23T15:00:00Z,0,3,0,0,0,0,38,0,219575,0,2,0.0,0,-171,697,868,75,True,0,38,Willian Borges Da Silva,478,38,75,0,,,,,,0.0,0,0.0,0.0,3,7153.4043368982975,0.5
Wilfried Zaha,MID,Crystal Palace,1.5,0,0,4,0,0.3,141,374,2,0,2.9,5.2,2021-05-23T15:00:00Z,90,11,0,0,0,0,38,0,814281,0,2,23.0,2,-56189,8121,64310,71,False,0,38,Wilfried Zaha,141,38,71,0,,,,,,2.0,0,2.0,2.0,3,26507.07396618521,1.5
Troy Deeney,FWD,Watford,0.0,0,0,0,0,0.0,380,375,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,6,0,0,0,0,38,0,28980,1,2,0.0,0,-43,0,43,54,False,0,38,Troy Deeney,380,38,54,0,,,,,,0.0,0,0.0,0.0,4,946.622418329618,0.0
Álvaro Fernández,DEF,Man Utd,0.5,0,0,0,0,0.0,728,376,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,7,0,0,0,0,38,0,529,0,1,0.0,0,98,153,55,40,False,0,38,Álvaro Fernández,728,38,40,0,,,,,,0.0,0,0.0,0.0,2,19.473114930837767,0.5
Yerson Mosquera,DEF,Wolves,0.0,0,0,0,0,0.0,788,377,0,0,0.0,0.0,2024-05-19T15:00:00Z,0,11,0,0,0,0,38,0,17,0,2,0.0,0,-1,0,1,40,False,0,38,Yerson Mosquera,788,38,40,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2,2.7858554667855264,0.0
Wilfred Ndidi,MID,Leicester,2.0,0,0,15,0,0.8,236,373,4,0,2.9,28.0,2021-05-23T15:00:00Z,90,17,0,0,0,0,38,0,61334,4,2,0.0,2,1156,2117,961,48,True,0,38,Wilfred Ndidi,236,38,48,0,,,,,,2.0,0,1.6666666666666667,2.2,3,2001.5446159800433,2.0
William Troost-Ekong,DEF,Watford,-0.8,0,0,0,0,0.0,387,375,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,6,0,0,0,0,38,0,7740,1,2,0.0,0,-48,16,64,43,False,0,38,William Troost-Ekong,387,38,43,0,,,,,,0.0,0,0.0,0.2,2,254.42306605801343,-0.8
Ângelo Gabriel Borges Damaceno,MID,Chelsea,0.0,0,0,0,0,0.0,589,375,0,0,0.0,0.0,2024-05-19T15:00:00Z,0,3,0,0,0,0,38,0,302,1,2,0.0,0,0,0,0,50,True,0,38,Ângelo Gabriel Borges Damaceno,589,38,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3,12.750512471166047,0.0
Valentín Barco,DEF,Brighton,0.7,0,0,5,0,18.8,816,373,1,0,5.3,15.0,2024-05-19T15:00:00Z,80,14,0,0,0,0,38,0,5091,2,0,19.0,2,392,765,373,40,True,0,38,Valentín Barco,816,38,40,0,0.09,0.21,0.12,1.02,1.0,2.25,0,1.0,0.8,2,169.11233065457296,0.7
Viljami Sinisalo,GK,Aston Villa,-1.0,0,0,0,0,0.0,596,379,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,12,0,0,0,0,38,0,7073,2,3,0.0,0,67,235,168,40,False,0,38,Viljami Sinisalo,596,38,40,0,,,,,,0.0,0,0.0,0.0,1,232.5168748038066,-1.0
Vitalii Mykolenko,DEF,Everton,2.3,0,0,0,0,0.0,675,371,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,1,0,0,0,0,38,0,100131,1,5,0.0,0,-19659,2926,22585,49,False,0,38,Vitalii Mykolenko,675,38,49,0,,,,,,0.0,0,0.0,0.4,2,3259.305451284546,2.3
Xherdan Shaqiri,MID,Liverpool,0.5,0,0,0,0,0.0,247,374,0,0,0.0,0.0,2021-05-23T15:00:00Z,0,6,0,0,0,0,38,0,6535,0,2,0.0,0,22,125,103,64,True,0,38,Xherdan Shaqiri,247,38,64,0,,,,,,0.0,0,0.0,0.0,3,216.65152922499945,0.5
