name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,player_name,player_id,gameweek,price,season,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,points_per_90,goal_involvement,form_3gw,form_5gw,position_code,exp031_prediction,exp030_prediction
Vladimir Coufal,DEF,West Ham,10.5,1,1,31,1,15.4,558,377,0,0,4.2,25.0,2021-05-23T15:00:00Z,90,16,0,0,0,0,38,0,709264,0,3,2.0,10,13908,33904,19996,48,True,0,38,Vladimir Coufal,558,38,48,0,,,,,,10.0,1,3.333333333333333,2.4,2,23100.51451992657,10.5
Trent Alexander-Arnold,DEF,Liverpool,5.5,0,0,17,1,40.1,259,374,0,0,5.0,4.4,2021-05-23T15:00:00Z,90,6,0,0,0,0,38,0,2246010,0,2,5.0,5,156801,170762,13961,78,True,1,38,Trent Alexander-Arnold,259,38,78,0,,,,,,5.0,0,2.333333333333333,2.6,2,73159.8071468492,5.5
Willian Borges da Silva,MID,Fulham,5.2,1,0,25,0,0.0,614,379,2,0,0.0,0.0,2023-05-28T15:30:00Z,90,14,0,0,0,0,38,0,51333,1,2,0.0,5,-3019,5240,8259,55,False,0,38,Willian Borges da Silva,614,38,55,0,0.41,0.41,0.0,2.71,1.0,5.0,1,4.0,3.6,3,1677.9941699069711,5.2
Yoane Wissa,MID,Brentford,4.9,1,1,18,0,0.0,524,372,2,0,0.0,0.0,2022-05-22T15:00:00Z,90,10,0,0,0,0,38,0,26983,2,1,0.0,6,15566,16646,1080,57,True,0,38,Yoane Wissa,524,38,57,0,,,,,,6.0,1,9.666666666666666,8.2,3,894.5057790828438,4.9
Wout Faes,DEF,Leicester,4.2,0,2,31,0,0.0,612,378,1,1,0.0,0.0,2023-05-28T15:30:00Z,90,19,0,0,0,0,38,0,23010,1,2,0.0,10,2477,3113,636,42,True,0,38,Wout Faes,612,38,42,0,0.0,0.31,0.31,1.34,1.0,10.0,1,5.666666666666667,4.2,2,757.7591781798745,4.2
Đorđe Petrović,GK,Chelsea,3.8,0,0,18,0,0.0,687,375,1,0,3.8,38.4,2024-05-19T15:00:00Z,90,3,0,0,0,0,38,5,911462,1,2,0.0,3,22145,46910,24765,47,True,0,38,Đorđe Petrović,687,38,47,0,0.0,0.0,0.0,2.15,1.0,3.0,0,2.0,4.2,1,29683.58239708351,3.8
Trevoh Chalobah,DEF,Chelsea,3.3,0,0,0,0,0.0,527,375,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,18,0,0,0,0,38,0,227095,1,2,0.0,0,9535,14288,4753,47,True,0,38,Trevoh Chalobah,527,38,47,0,,,,,,0.0,0,1.0,1.0,2,7399.116534794061,3.3
Wataru Endo,MID,Liverpool,2.5,0,0,13,1,27.2,668,377,0,0,5.1,17.2,2024-05-19T15:00:00Z,90,20,0,0,0,0,38,0,11704,0,2,7.0,2,92,357,265,54,True,1,38,Wataru Endo,668,38,54,0,0.04,0.08,0.04,0.56,1.0,2.0,0,2.333333333333333,1.8,3,386.6298332469217,2.5
Vitalii Mykolenko,DEF,Everton,2.3,0,0,0,0,0.0,675,371,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,1,0,0,0,0,38,0,100131,1,5,0.0,0,-19659,2926,22585,49,False,0,38,Vitalii Mykolenko,675,38,49,0,,,,,,0.0,0,0.0,0.4,2,3259.305451284546,2.3
Zeki Amdouni,FWD,Burnley,2.3,0,0,-2,0,14.3,594,374,2,0,2.7,0.0,2024-05-19T15:00:00Z,74,16,0,0,0,0,38,0,22121,2,1,16.0,2,695,1490,795,51,True,0,38,Zeki Amdouni,594,38,51,0,0.04,0.51,0.47,1.41,1.0,2.4324324324324325,0,1.3333333333333333,2.4,4,724.6195762317958,2.3
Weston McKennie,MID,Leeds,2.2,0,0,0,0,0.0,720,377,2,0,0.0,0.0,2023-05-28T15:30:00Z,59,18,0,0,0,0,38,0,4987,4,1,0.0,1,1027,1333,306,46,True,0,38,Weston McKennie,720,38,46,0,0.02,0.13,0.11,0.81,1.0,1.5254237288135593,0,2.6666666666666665,2.2,3,167.89466942563135,2.2
Wilfred Ndidi,MID,Leicester,2.0,0,0,15,0,0.8,236,373,4,0,2.9,28.0,2021-05-23T15:00:00Z,90,17,0,0,0,0,38,0,61334,4,2,0.0,2,1156,2117,961,48,True,0,38,Wilfred Ndidi,236,38,48,0,,,,,,2.0,0,1.6666666666666667,2.2,3,2001.5446159800433,2.0
